doc_id,age_months,age_group,task,subject_id,n_early,n_late,early_mean,late_mean,drift
ECSC_1001_1_107F_1001_YR1,107,8-10yr,frog_where_are_you,1001,3,3,3.465286972392621,5.224506606129412,1.7592196337367914
ECSC_1001_2_107F_1001_YR2,107,8-10yr,one_frog_too_many,1001,3,3,3.6141772062284545,6.709802111644259,3.0956249054158045
ECSC_1001_3_107F_1001_YR3,107,8-10yr,boy_dog_frog,1001,3,3,3.425014195977905,2.4986274631794387,-0.9263867327984663
ECSC_1002_1_89F_1002_YR1,89,6-8yr,frog_on_his_own,1002,3,3,5.705137624662886,1.9345361269413033,-3.770601497721583
ECSC_1002_2_89F_1002_YR2,89,6-8yr,frog_where_are_you,1002,3,3,5.473716411461424,9.36488892112154,3.891172509660117
ECSC_1002_3_89F_1002_YR3,89,6-8yr,one_frog_too_many,1002,3,3,2.7980240213983443,2.262760427393608,-0.5352635940047361
ECSC_1003_1_82F_1003_YR1,82,6-8yr,one_frog_too_many,1003,3,3,9.396133472360248,19.984069328248385,10.587935855888137
ECSC_1003_2_82F_1003_YR2,82,6-8yr,frog_on_his_own,1003,3,3,5.444634723001047,4.307729291166411,-1.136905431834636
ECSC_1003_3_82F_1003_YR3,82,6-8yr,frog_on_his_own,1003,3,3,6.625354424368456,3.086499153695676,-3.5388552706727796
ECSC_1004_1_78F_1004_YR1,78,6-8yr,one_frog_too_many,1004,3,3,7.469752433460894,8.22794758033796,0.7581951468770658
ECSC_1004_2_78F_1004_YR2,78,6-8yr,one_frog_too_many,1004,3,3,5.5388301135609055,7.679498782869075,2.1406686693081696
ECSC_1004_3_78F_1004_YR3,78,6-8yr,boy_dog_frog,1004,3,3,2.2512154310249968,3.46545011568386,1.2142346846588632
ECSC_1005_2_83F_1005_YR2,83,6-8yr,frog_on_his_own,1005,3,3,5.778346894977978,3.801355844078294,-1.976991050899684
ECSC_1005_3_83F_1005_YR3,83,6-8yr,one_frog_too_many,1005,3,3,3.325370921235207,5.9766316010833265,2.6512606798481193
ECSC_1006_2_97F_1006_YR2,97,8-10yr,one_frog_too_many,1006,3,3,4.380035288471933,5.0074548177500215,0.6274195292780886
ECSC_1006_3_97F_1006_YR3,97,8-10yr,one_frog_too_many,1006,3,3,6.812330287494778,16.177501177333053,9.365170889838275
ECSC_1008_1_94F_1008_YR1,94,6-8yr,frog_where_are_you,1008,3,3,5.72158318200871,3.9223318644151615,-1.7992513175935487
ECSC_1008_2_94F_1008_YR2,94,6-8yr,frog_where_are_you,1008,3,3,11.262155010010853,9.138707011066105,-2.123447998944748
ECSC_1008_3_94F_1008_YR3,94,6-8yr,one_frog_too_many,1008,3,3,9.71095447668368,7.848619266353356,-1.8623352103303246
ECSC_1009_1_94F_1009_YR1,94,6-8yr,boy_dog_frog,1009,3,3,10.451735383629446,2.356734305164323,-8.095001078465122
ECSC_1009_2_94F_1009_YR2,94,6-8yr,one_frog_too_many,1009,3,3,8.28683874975155,9.999892263425851,1.7130535136743017
ECSC_1009_3_94F_1009_YR3,94,6-8yr,one_frog_too_many,1009,3,3,3.9313392021859097,11.537202930983833,7.605863728797923
ECSC_1010_1_99M_1010_YR1,99,8-10yr,one_frog_too_many,1010,3,3,15.824789482244853,15.535930953589896,-0.2888585286549574
ECSC_1010_3_99M_1010_YR3,99,8-10yr,unknown,1010,3,3,7.451521487637026,7.922159370120984,0.4706378824839579
ECSC_1011_3_71M_1011_YR3,71,4-6yr,frog_where_are_you,1011,3,3,10.404823186173452,7.1757118965605,-3.229111289612952
ECSC_1012_1_94F_1012_YR1,94,6-8yr,one_frog_too_many,1012,3,3,11.74790709721618,1.0222265471202452,-10.725680550095934
ECSC_1012_2_94F_1012_YR2,94,6-8yr,one_frog_too_many,1012,3,3,5.951881864333447,5.534791277990634,-0.4170905863428125
ECSC_1012_3_94F_1012_YR3,94,6-8yr,boy_dog_frog,1012,3,3,20.318743610002183,2.1176533032272995,-18.201090306774883
ECSC_1013_2_62F_1013_YR2,62,4-6yr,one_frog_too_many,1013,3,3,3.2911012179669186,2.7034054167076973,-0.5876958012592213
ECSC_1014_1_76F_1014_YR1,76,6-8yr,one_frog_too_many,1014,3,3,3.8292356245897534,0.5676946364907393,-3.2615409880990143
ECSC_1014_2_76F_1014_YR2,76,6-8yr,frog_on_his_own,1014,3,3,15.918063519742825,9.401775022550916,-6.516288497191908
ECSC_1014_3_76F_1014_YR3,76,6-8yr,boy_dog_frog,1014,3,3,10.12902594152996,5.314970190869563,-4.814055750660398
ECSC_1015_1_102F_1015_YR1,102,8-10yr,one_frog_too_many,1015,3,3,17.829591925961044,7.751263901099612,-10.078328024861431
ECSC_1015_2_102F_1015_YR2,102,8-10yr,frog_on_his_own,1015,3,3,22.311642417461425,11.122165084077652,-11.189477333383772
ECSC_1015_3_102F_1015_YR3,102,8-10yr,boy_dog_frog,1015,3,3,10.15791041762397,4.303065411779839,-5.8548450058441315
ECSC_1016_2_85M_1016_YR2,85,6-8yr,boy_dog_frog,1016,3,3,1.3025782217179191,2.83860469820952,1.536026476491601
ECSC_1016_3_85M_1016_YR3,85,6-8yr,frog_on_his_own,1016,3,3,16.599377520121696,6.550116982100104,-10.049260538021592
ECSC_1017_1_64F_1017_YR1,64,4-6yr,boy_dog_frog,1017,3,3,8.16498755936853,2.9676490306117294,-5.1973385287568
ECSC_1017_3_64F_1017_YR3,64,4-6yr,boy_dog_frog,1017,3,3,2.5852934319135374,4.11656271001277,1.531269278099233
ECSC_1018_1_82M_1018_YR1,82,6-8yr,frog_where_are_you,1018,3,3,11.597659497501331,14.509876152596519,2.912216655095188
ECSC_1020_2_65M_1020_YR2,65,4-6yr,one_frog_too_many,1020,3,3,6.031598700838246,4.512922560475353,-1.518676140362893
