essay_id,span_label,span_size,span_start_token,span_end_token,score_region,delta_nll_per_token,delta_nll,rank_displacement_mean,rank_displacement_median,baseline_nll,ablated_nll,baseline_rank_mean,ablated_rank_mean,flip_rate,topk_change,n_tokens,score,score_bin,grade,token_count,n_random_samples,delta_nll_normalized,token_count_z,baseline_nll_z
B7C17E1993BA,early,128,0.0,128.0,score_early,-0.00013253896955459782,-0.01696498810298852,-0.34920634920634974,0.0,1.8504097348167783,1.8334447467137898,5.666666666666667,5.317460317460317,0.07936507936507936,0.08513708513708512,63,1,low,9,859,,-0.03944190807962356,-0.5721085981772647,-0.6680675274546886
B7C17E1993BA,early,128,0.0,128.0,score_mid,-4.8553186749653726e-05,-0.006214807903955677,-0.11111111111111427,0.0,2.485018351721385,2.4788035438174294,50.682539682539684,50.57142857142857,0.031746031746031744,0.08465608465608464,63,1,low,9,859,,-0.06246291496443039,-0.5721085981772647,0.5843817348427373
B7C17E1993BA,early,128,0.0,128.0,score_late,-6.914795853021558e-05,-0.008850938691867594,-0.37795275590551114,0.0,2.166781117596964,2.1579301789050964,20.496062992125985,20.118110236220474,0.007874015748031496,0.07211423746856817,127,1,low,9,859,,-0.13252567991999847,-0.5721085981772647,-0.04368409738439991
B7C17E1993BA,early_mid,128,128.0,256.0,score_early,0.00010064102354503772,0.012882051013764828,0.0,0.0,1.8504097348167783,1.8632917858305431,5.666666666666667,5.666666666666667,0.047619047619047616,0.11470011470011467,63,1,low,9,859,,0.029949485898692098,-0.5721085981772647,-0.6680675274546886
B7C17E1993BA,early_mid,128,128.0,256.0,score_mid,0.00024175691226172025,0.03094488476950019,-0.49206349206349387,0.0,2.485018351721385,2.5159632364908853,50.682539682539684,50.19047619047619,0.07936507936507936,0.11470011470011467,63,1,low,9,859,,0.3110164844694728,-0.5721085981772647,0.5843817348427373
B7C17E1993BA,early_mid,128,128.0,256.0,score_late,9.473829757510391e-05,0.0121265020896133,2.3307086614173222,0.0,2.166781117596964,2.1789076196865773,20.496062992125985,22.826771653543307,0.023622047244094488,0.059468090964153945,127,1,low,9,859,,0.18157090342902196,-0.5721085981772647,-0.04368409738439991
B7C17E1993BA,late,128,256.0,384.0,score_early,-2.230159820072221e-05,-0.0028546045696924427,0.1904761904761898,0.0,1.8504097348167783,1.8475551302470858,5.666666666666667,5.857142857142857,0.07936507936507936,0.07111935683364252,63,1,low,9,859,,-0.006636671382141958,-0.5721085981772647,-0.6680675274546886
B7C17E1993BA,late,128,256.0,384.0,score_mid,-0.00037215531818450207,-0.047635880727616264,-2.650793650793652,0.0,2.485018351721385,2.437382470993769,50.682539682539684,48.03174603174603,0.015873015873015872,0.09812409812409811,63,1,low,9,859,,-0.47877199313770835,-0.5721085981772647,0.5843817348427373
B7C17E1993BA,late,128,256.0,384.0,score_late,-7.837858256392466e-05,-0.010032458568182356,-0.3858267716535444,0.0,2.166781117596964,2.1567486590287817,20.496062992125985,20.11023622047244,0.015748031496062992,0.07563827248866618,127,1,low,9,859,,-0.1502166537702045,-0.5721085981772647,-0.04368409738439991
B7C17E1993BA,immediate_pre_target,128,384.0,512.0,score_early,0.003104877377313282,0.3974243042961001,10.460317460317459,0.0,1.8504097348167783,2.2478340391128784,5.666666666666667,16.126984126984127,0.2857142857142857,0.40480362048989493,63,1,low,9,859,,0.9239719346395424,-0.5721085981772647,-0.6680675274546886
