essay_id,log_slope_local_mean,log_slope_local_std,auc_linear_k_mean,auc_linear_k_std,gain_128_mean,gain_128_std,early_ratio_mean,early_ratio_std,token_count_first,baseline_nll_first,score_bin_first,prompt_id_first
00C819ADE423,0.34497859143316956,0.11616258535864324,138.5218530344086,41.960122575858215,1.3510205614771094,0.39258751314827645,0.5492679981168914,0.17382482353628553,887,2.3164619440212846,mid,Exploring Venus
057DACBB2B12,0.2458163485722161,0.11232500733853806,96.87053587679421,47.32969828807475,0.9664377193297108,0.43316777819652624,0.49605079399664664,0.34209586259388064,1218,2.9552520334720613,low,Does the electoral college work?
05F9DC51226B,0.3110482314841638,0.1475017748298473,133.24963334824048,46.523433432735985,1.303884675065356,0.5307274695882909,0.61933921888196,0.20388899010494407,1395,2.5264153845608237,mid,Seeking multiple opinions
09601E40B377,0.30577449413392943,0.12425235143202286,137.912936311107,49.721335338310794,1.3651687632885672,0.42603006367621504,0.5456835081680946,0.19580004772551204,804,2.7640996553003787,low,Car-free cities
0A1C9CA990BD,0.2534708623171005,0.11649485117292513,114.55560821422164,43.69845872214739,1.062223935800214,0.36335006077870335,0.6575725044698031,0.26130374805985745,843,2.5517475694417957,mid,Car-free cities
0B1B547521F1,0.31234438391905,0.08723556557354581,130.21499608146448,34.35228674387843,1.2812244094487641,0.27150958034624356,0.49876186933147737,0.2629017821502299,966,2.338714743591845,high,Exploring Venus
0C06B988433C,0.21338694162023003,0.053963517561874653,107.24784879296297,25.320477641321705,0.9937029476067231,0.20636185059039933,0.6499470674551988,0.1308404742842429,807,2.216847255639732,high,Distance learning
0E0FF9B702E0,0.33132741500461604,0.12711694305516197,146.98885314349207,36.627543096499984,1.4188437510161631,0.38373654753331654,0.5803919083043219,0.23705155388921115,794,2.366285306960344,mid,Does the electoral college work?
0F2E9FA7DAF4,0.35965281858757986,0.154573311600406,153.5087354603434,54.759517162679245,1.5402153081951604,0.5241000274437686,0.5514177830231816,0.20053912464381463,815,1.9523989364504812,mid,Mandatory extracurricular activities
1028F5A588AA,0.30416851411153384,0.09621989659636945,125.56197476218783,42.526605258059114,1.31870611204255,0.4375435301256866,0.4752193830125983,0.20275446096192865,844,2.9003471702337267,high,Facial action coding system
129497C3E0FC,0.3717146333637274,0.12683919435906912,173.00375297454096,49.98366975219918,1.617862949063701,0.44037489185699336,0.6289684121868986,0.18153499903684495,1007,2.9732075214385985,low,Car-free cities
134A4DA02013,0.32035853482319004,0.10561370186576179,144.44831709084252,35.47149342983581,1.3232713605127027,0.31569145003871124,0.6746880270943368,0.15219993742624327,794,2.024093788862229,low,Does the electoral college work?
153972503B34,0.2780239425484919,0.08471603396872487,114.01245724584666,35.18428344356053,1.0739123845713272,0.30551416519991703,0.6116884956756584,0.17636543794498993,1136,2.6243576331064107,mid,Distance learning
